,index,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
711,4857088,1617131520,58818.63,58818.64,58783.39,58783.39,1.05299218,61925.566672,58809.142031
712,4857089,1617131580,58783.39,58800.21,58763.59,58784.23,1.14554669,67343.825623,58787.499638
713,4857090,1617131640,58769.59,58774.87,58757.09,58757.09,1.41057527,82891.615207,58764.40412
714,4857091,1617131700,58777.94,58818.86,58777.94,58818.86,2.24023467,131724.22908,58799.299395
715,4857092,1617131760,58827.4,58827.4,58780.92,58792.14,0.84486341,49690.729317,58815.103991
716,4857093,1617131820,58803.03,58803.03,58766.82,58778.69,0.10084616,5928.802245,58790.560245
717,4857094,1617131880,58783.1,58783.1,58733.0,58733.0,0.96605091,56772.989076,58768.113035
718,4857095,1617131940,58735.5,58762.07,58735.5,58742.44,0.71470224,41982.824237,58741.699533
719,4857096,1617132000,58766.83,58797.71,58762.84,58762.84,3.58158826,210497.12236,58772.004785
720,4857097,1617132060,58770.65,58799.71,58768.12,58780.42,1.22656311,72090.316867,58774.241846
721,4857098,1617132120,58785.64,58786.03,58785.64,58785.64,0.30877065,18151.325513,58785.786517
722,4857099,1617132180,58785.86,58835.26,58785.86,58835.26,0.37883588,22273.654194,58794.996383
723,4857100,1617132240,58827.28,58832.48,58800.61,58831.39,0.5544394,32616.093845,58827.157386
724,4857101,1617132300,58811.78,58815.76,58798.36,58815.25,0.04525397,2661.4567674,58811.564321
725,4857102,1617132360,58807.68,58809.03,58791.12,58791.12,0.41611399,24470.754456,58807.814791
726,4857103,1617132420,58808.92,58858.84,58801.26,58858.84,0.82712413,48656.006648,58825.519512
727,4857104,1617132480,58825.68,58864.74,58825.68,58864.74,0.03867935,2276.1596166,58846.894185
728,4857105,1617132540,58859.53,58902.94,58859.52,58902.94,0.25280554,14882.327258,58868.675337
729,4857106,1617132600,58902.94,58917.64,58898.2,58903.0,1.18213888,69640.420409,58910.523617
730,4857107,1617132660,58884.31,58884.31,58856.2,58884.11,0.88847972,52302.60405,58867.527162
731,4857108,1617132720,58886.88,58886.88,58859.4,58878.7,0.8947315,52682.75358,58881.076144
732,4857109,1617132780,58885.1,59036.32,58885.1,59030.12,10.10513352,595710.72549,58951.296815
733,4857110,1617132840,59064.18,59064.18,59006.63,59010.52,3.72102256,219594.11748,59014.454747
734,4857111,1617132900,59013.09,59054.55,59013.09,59044.61,1.88837719,111478.27451,59033.902286
735,4857112,1617132960,59034.94,59055.57,59000.0,59000.0,1.53579025,90646.487105,59022.699946
736,4857113,1617133020,58964.78,58994.71,58964.72,58985.81,0.63568131,37491.802446,58978.928366
737,4857114,1617133080,58978.66,59003.86,58975.84,59003.86,1.03724583,61188.672319,58991.485479
738,4857115,1617133140,59000.02,59005.73,58975.42,58980.51,0.75509874,44539.315191,58984.75634
739,4857116,1617133200,58984.94,58984.94,58922.79,58922.79,0.77305817,45565.422485,58941.777285
740,4857117,1617133260,58932.41,58932.41,58904.2,58918.67,0.37049657,21831.02139,58923.680158
741,4857118,1617133320,58919.21,58930.29,58892.99,58920.67,3.2806732,193289.24085,58917.554131
742,4857119,1617133380,58918.68,58938.69,58890.39,58923.53,5.54448351,326693.71317,58922.298638
743,4857120,1617133440,58912.27,58919.67,58887.3,58919.67,0.94077243,55407.807211,58896.078844
744,4857121,1617133500,58908.29,58973.66,58902.88,58942.86,0.53480795,31516.103295,58929.758421
745,4857122,1617133560,58949.22,58976.58,58946.15,58946.15,0.84424215,49774.332161,58957.411876
746,4857123,1617133620,58938.43,58947.63,58926.52,58926.52,0.63143253,37215.367977,58937.996078
747,4857124,1617133680,58935.56,58945.13,58900.03,58924.4,0.37925375,22350.116938,58931.828461
748,4857125,1617133740,58918.61,58942.76,58918.61,58942.76,0.1958696,11542.091853,58927.428521
749,4857126,1617133800,58925.44,58947.64,58920.3,58925.23,0.1583789,9332.1936454,58923.212912
750,4857127,1617133860,58919.72,58967.99,58919.72,58944.15,3.35206111,197568.43726,58939.390057
751,4857128,1617133920,58944.15,58958.62,58930.68,58930.68,1.90950559,112569.80179,58952.329012
752,4857129,1617133980,58937.74,58961.85,58931.59,58946.29,2.45550273,144774.07751,58959.03749
753,4857130,1617134040,58950.12,58988.24,58949.11,58981.84,1.19118185,70249.450317,58974.580848
754,4857131,1617134100,58958.56,58977.75,58950.0,58958.69,4.4682632,263449.56755,58960.172165
755,4857132,1617134160,58961.12,58991.69,58953.64,58976.5,2.61409419,154177.54037,58979.336306
756,4857133,1617134220,58976.53,59015.66,58972.44,58991.78,1.92513093,113588.43337,59002.965254
757,4857134,1617134280,58992.37,59030.41,58991.78,59030.41,1.39206457,82167.275441,59025.47713
758,4857135,1617134340,59030.41,59118.91,59030.41,59118.91,8.40473744,496533.18248,59077.774412
759,4857136,1617134400,59118.91,59135.0,59023.96,59037.79,2.6843436,158619.61284,59090.651748
760,4857137,1617134460,59014.42,59032.73,58976.48,58992.61,1.30005509,76699.526532,58997.135677
761,4857138,1617134520,58992.61,59009.48,58885.1,58885.1,3.11345723,183451.41901,58922.09382
